section,lat,lng,unit_PRICE,PRICE,health,total_size,land_size,n_land,n_build,n_park,district_id,date,built_date,floor,total_floor,build_state,use,is.comp,is.manage,is.furn,n_room,n_hall,n_bath
2015Q1,25.0266083,121.5438961,764,42e3,1,54.98,0,0,1,0,2,2014-10-08,2006-04-10,5,7,6,-1,TRUE,TRUE,TRUE,2,2,1
2015Q1,25.028923,121.529913,287,5e4,2,174.38,0,0,1,1,2,2014-10-26,2001-10-26,3,7,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.087772,121.5168186,400,5e4,1,125.06,0,0,1,0,6,2014-10-20,2012-11-12,6,8,6,-1,TRUE,TRUE,TRUE,2,1,1
2015Q1,25.037703,121.5061818,455,58e3,2,127.49,0,0,1,0,8,2014-10-31,2010-04-13,9,15,10,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.048493,121.5187377,928,34e3,1,36.63,0,0,1,0,3,2014-10-20,2009-07-24,12,18,10,-1,TRUE,TRUE,TRUE,1,1,1
2015Q1,25.0530963,121.5191378,478,55e3,2,114.95,0,0,1,0,3,2014-10-21,2008-02-05,3,15,10,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0410478,121.619879,228,12e3,1,52.74,0,0,1,0,4,2014-10-18,2003-04-30,3,6,6,-1,TRUE,FALSE,TRUE,1,0,1
2015Q1,25.0563999,121.551294,317,45e3,2,141.8,0,0,1,0,7,2014-10-20,1986-07-14,5,7,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0410478,121.619879,277,12e3,1,43.28,0,0,1,0,4,2014-11-01,2003-04-30,4,6,6,-1,TRUE,FALSE,TRUE,1,0,1
2015Q1,25.041004,121.577475,463,28410,0,61.42,0,0,1,0,10,2014-10-20,1993-08-13,3,27,1,-1,FALSE,TRUE,TRUE,0,0,0
2015Q1,25.0527933,121.616445,404,27e3,0,66.87,24.87,0,1,0,4,2014-11-05,NA,1,4,5,-1,FALSE,FALSE,FALSE,1,0,0
2015Q1,25.0413432,121.5605632,349,5e4,1,143.17,172,0,1,0,10,2014-10-16,NA,5,12,10,-1,TRUE,FALSE,FALSE,2,2,1
2015Q1,25.051134,121.578391,383,137500,13,359.12,99,0,1,0,7,2014-11-06,NA,-1,4,5,-1,TRUE,FALSE,TRUE,13,0,13
2015Q1,25.0336571,121.5738977,435,4e4,1,92,13,0,1,0,10,2014-10-20,2006-12-29,11,19,10,-1,TRUE,TRUE,TRUE,2,1,1
2015Q1,25.056545,121.5260897,602,36e3,1,59.8,0,0,1,0,11,2014-10-13,2008-12-29,4,13,10,-1,TRUE,TRUE,TRUE,2,2,1
2015Q1,25.0478385,121.5393649,290,57e3,1,196.43,0,0,1,0,11,2014-10-15,2013-07-08,8,13,10,-1,TRUE,TRUE,TRUE,1,2,1
2015Q1,25.082885,121.5618128,416,5e4,1,120.13,0,0,1,0,11,2014-10-22,2010-12-01,5,10,6,-1,TRUE,TRUE,TRUE,2,2,1
2015Q1,25.0589871,121.5338425,641,1e5,1,155.92,206.59,0,1,0,11,2014-09-09,1977-01-17,1,7,3,-1,TRUE,FALSE,FALSE,0,1,1
2015Q1,25.04492,121.5752274,1867,14e4,0,74.99,0,0,0,0,10,2014-10-13,1974-10-14,1,4,3,-1,TRUE,FALSE,FALSE,4,0,0
2015Q1,25.04492,121.5752274,2134,8e4,0,37.49,0,0,0,0,10,2014-10-13,1974-10-14,1,4,3,-1,TRUE,FALSE,FALSE,4,0,0
2015Q1,25.1038682,121.5278504,237,3e4,2,126.54,23.17,1,1,0,6,2014-10-10,1985-01-18,4,7,6,-1,TRUE,TRUE,FALSE,3,2,2
2015Q1,25.1119957,121.530989,384,57e3,2,148.49,21.42,1,1,0,6,2014-10-20,1985-12-05,14,14,10,-1,TRUE,TRUE,TRUE,4,2,2
2015Q1,25.028532,121.563282,294,35e3,1,119.02,43,1,1,0,10,2014-10-10,1987-05-14,2,7,6,-1,TRUE,FALSE,FALSE,3,1,1
2015Q1,25.0547854,121.5555557,267,45e3,2,168.69,0,0,1,0,7,2014-10-16,1997-07-28,5,11,10,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0518383,121.5556829,420,22728,1,54.09,559,0,1,0,7,2014-10-28,1977-08-09,7,12,1,-1,TRUE,TRUE,TRUE,1,2,1
2015Q1,25.0241941,121.5530874,554,25e3,1,45.09,0,0,1,0,10,2014-10-21,2008-02-05,12,14,10,-1,TRUE,TRUE,TRUE,1,1,1
2015Q1,25.0535786,121.5883287,209,25e3,0,119.53,0,0,1,0,4,2014-10-27,NA,1,5,3,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.056578,121.565156,179,4e4,2,224.05,0,0,1,0,7,2014-11-03,2004-09-14,13,14,10,-1,TRUE,TRUE,TRUE,4,2,2
2015Q1,25.0447812,121.5669716,260,27e3,2,103.76,0,0,1,0,10,2014-10-31,1984-05-07,6,12,1,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0462586,121.549808,324,9e4,2,277.74,55.62,0,1,0,7,2014-10-29,1983-10-24,1,7,6,-1,TRUE,FALSE,FALSE,0,0,2
2015Q1,25.0511457,121.5697491,415,5e4,1,120.38,34.5,0,1,0,7,2014-10-27,NA,1,4,3,-1,TRUE,FALSE,TRUE,0,1,1
2015Q1,25.0593314,121.6142297,163,68e3,3,418.09,0,0,1,2,4,2014-11-01,2012-01-19,12,13,10,-1,TRUE,TRUE,TRUE,4,3,3
2015Q1,25.03202,121.5576402,570,27273,1,47.86,0,0,1,0,10,2014-11-03,2000-11-24,13,13,10,-1,TRUE,TRUE,TRUE,1,1,1
2015Q1,25.0574686,121.567205,203,38e3,2,187.34,0,0,1,0,7,2014-11-04,1981-01-21,2,7,6,-1,TRUE,TRUE,TRUE,4,1,2
2015Q1,25.0589059,121.6120912,218,39e3,2,179.10000000000005,0,0,1,0,4,2014-11-05,2013-05-21,8,11,10,-1,TRUE,TRUE,TRUE,3,1,2
2015Q1,25.114225,121.5258769,417,83e3,2,199.04,0,0,1,0,6,2014-10-20,2007-09-07,2,8,6,-1,TRUE,TRUE,TRUE,4,2,2
2015Q1,25.1034301,121.5248822,498,69e3,2,138.66,0,0,1,0,6,2014-10-20,1980-05-22,4,5,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.046042,121.508827,435,46e3,2,105.64,0,0,1,0,8,2014-10-16,2008-02-27,2,14,10,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0671654,121.5259185,389,5e4,2,128.5,0,0,1,0,11,2014-10-20,2007-10-24,6,9,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.056545,121.5260897,527,4e4,1,75.92,0,0,1,0,11,2014-10-20,2008-12-29,9,13,10,-1,TRUE,TRUE,TRUE,2,1,1
2015Q1,25.0506409,121.5371102,519,66e3,0,127.14,0,0,1,0,11,2014-10-24,1972-01-30,1,4,3,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.0805252,121.5745997,491,65e3,2,132.48,18.08,1,1,0,5,2014-10-10,2010-11-23,7,18,10,-1,TRUE,FALSE,TRUE,3,2,2
2015Q1,25.0800554,121.5986539,587,15e4,2,255.43,37.21,1,1,0,5,2014-10-13,2012-11-21,14,24,10,-1,TRUE,FALSE,TRUE,4,2,2
2015Q1,25.0612094,121.5231156,664,71e3,2,106.88,0,0,1,0,11,2014-10-22,2008-06-11,9,14,10,-1,TRUE,TRUE,TRUE,2,2,2
2015Q1,25.0537189,121.5378451,526,79e3,2,150.05,0,0,1,0,11,2014-10-30,2009-09-01,12,17,10,-1,TRUE,TRUE,TRUE,2,2,2
2015Q1,25.0295121,121.5420038,576,28e3,1,48.64,0,0,1,0,2,2014-10-19,2007-06-23,7,13,10,-1,TRUE,TRUE,TRUE,1,2,1
2015Q1,25.0310669,121.531013,748,65e3,1,86.87,19.5,1,2,0,2,2014-11-04,1987-12-30,1,5,3,-1,TRUE,FALSE,TRUE,1,1,1
2015Q1,25.0264313,121.5478214,256,28e3,2,109.25,0,0,1,0,2,2014-11-07,1968-04-30,4,4,5,-1,TRUE,FALSE,TRUE,3,2,2
2015Q1,25.050939,121.517386,373,187264,0,502.46,0,0,1,1,3,2014-10-30,1983-11-11,5,12,1,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.055815,121.525014,339,8e4,1,235.87,0,0,1,0,11,2014-11-07,1985-07-05,8,12,1,-1,TRUE,TRUE,FALSE,4,2,1
2015Q1,25.047677,121.549351,277,7e4,3,253.02,0,0,1,0,7,2014-10-27,NA,5,10,6,-1,TRUE,TRUE,TRUE,5,3,3
2015Q1,25.0335859,121.5447619,1119,3e4,1,26.8,0,0,1,0,2,2014-10-22,1971-03-01,1,6,3,-1,TRUE,TRUE,FALSE,0,0,1
2015Q1,25.0559502,121.5242173,614,3e4,1,48.89,0,0,1,0,11,2014-10-28,1999-09-28,15,16,10,-1,TRUE,TRUE,TRUE,2,1,1
2015Q1,25.065211,121.5293055,455,36e3,1,79.1,0,0,1,0,11,2014-10-28,2009-06-22,2,14,10,-1,TRUE,FALSE,TRUE,1,1,1
2015Q1,25.0649087,121.5256777,426,63e3,2,147.9,0,0,1,0,11,2014-10-31,2011-07-26,3,13,10,-1,TRUE,TRUE,TRUE,2,1,2
2015Q1,25.0558875,121.5745177,272,8e4,0,294.41,0,0,1,3,5,2014-11-10,2008-10-24,6,6,2,-1,TRUE,TRUE,TRUE,2,0,0
2015Q1,25.0460552,121.5187502,518,1e5,2,193.06,0,0,1,0,12,2014-11-07,1990-08-15,214,27,1,-1,TRUE,TRUE,FALSE,3,2,2
2015Q1,25.05117,121.520123,824,53e3,1,64.34,0,0,1,0,3,2014-10-31,2011-11-29,8,9,6,-1,TRUE,TRUE,TRUE,2,1,1
2015Q1,25.0670429,121.51863350000001,211,17e3,1,80.62,101,3,1,0,3,2014-11-10,1976-05-27,2,4,5,-1,TRUE,FALSE,FALSE,1,1,1
2015Q1,25.1055541,121.5221305,421,5e4,2,118.79,0,0,1,0,6,2014-11-05,1990-08-29,7,11,10,-1,TRUE,TRUE,TRUE,3,1,2
2015Q1,25.1234456,121.5321256,502,45e3,0,89.67,0,0,1,0,6,2014-10-20,1963-08-13,1,4,3,-1,FALSE,FALSE,FALSE,0,0,0
